Region,Year,Quarter,AACI
CS,1988,2,-0.392670923
CS,1988,3,0.329995102
CS,1988,4,0.585142029
CS,1989,1,0.746693445
CS,1989,2,0.274905801
CS,1989,3,0.458444572
CS,1989,4,0.917109671
CS,1990,1,-1.005966543
CS,1990,2,-0.233330647
CS,1990,3,1.435301747
CS,1990,4,0.244673426
CS,1991,1,0.894916068
CS,1991,2,0.946227284
CS,1991,3,0.495196941
CS,1991,4,-0.083043735
CS,1992,1,0.602792099
CS,1992,2,0.748924319
CS,1992,3,0.360622076
CS,1992,4,-0.146872637
CS,1993,1,-0.177589694
CS,1993,2,-0.290274681
CS,1993,3,-0.628485889
CS,1993,4,-0.425637578
CS,1994,1,-0.866470294
CS,1994,2,-0.353772043
CS,1994,3,-0.610109704
CS,1994,4,-1.051246845
CS,1995,1,0.703061577
CS,1995,2,-1.367436371
CS,1995,3,0.064867694
CS,1995,4,0.702173631
CS,1996,1,0.978181689
CS,1996,2,-0.233585749
CS,1996,3,0.027174082
CS,1996,4,-1.462366626
CS,1997,1,0.391345178
CS,1997,2,0.244296902
CS,1997,3,-0.969649824
CS,1997,4,-1.715380314
CS,1998,1,-0.441793457
CS,1998,2,0.70321701
CS,1998,3,-1.252293806
CS,1998,4,1.063916145
CS,1999,1,0.163783802
CS,1999,2,-0.211166257
CS,1999,3,0.865515701
CS,1999,4,-0.305410947
CS,2000,1,0.248349998
CS,2000,2,-0.864000245
CS,2000,3,1.675927575
CS,2000,4,-1.631963355
CS,2001,1,0.84478552
CS,2001,2,2.059640767
CS,2001,3,0.71664212
CS,2001,4,0.246791497
CS,2002,1,0.342972478
CS,2002,2,0.243667324
CS,2002,3,-0.833392501
CS,2002,4,0.325313234
CS,2003,1,-1.295044662
CS,2003,2,-0.138620562
CS,2003,3,-0.518759689
CS,2003,4,-0.018336061
CS,2004,1,-0.78146778
CS,2004,2,-0.334722835
CS,2004,3,0.283497247
CS,2004,4,-0.462206051
CS,2005,1,-0.251289833
CS,2005,2,-0.002177274
CS,2005,3,0.667099951
CS,2005,4,0.730723542
CS,2006,1,0.11102696
CS,2006,2,0.785227622
CS,2006,3,0.480687918
CS,2006,4,0.805384001
CS,2007,1,-1.871841653
CS,2007,2,-0.079642666
CS,2007,3,-0.127249119
CS,2007,4,0.503439601
CS,2008,1,-0.290101241
CS,2008,2,-0.061035797
CS,2008,3,0.497400027
CS,2008,4,1.879567462
CS,2009,1,1.194419734
CS,2009,2,1.59781847
CS,2009,3,0.226202372
CS,2009,4,-0.843345605
CS,2010,1,1.738106797
CS,2010,2,0.993842129
CS,2010,3,1.843616337
CS,2010,4,0.93987125
CS,2011,1,1.980951899
CS,2011,2,1.150109332
CS,2011,3,-0.482501463
CS,2011,4,0.90753892
CS,2012,1,-0.202472432
CS,2012,2,0.226848617
CS,2012,3,0.651365849
CS,2012,4,0.180419476
CS,2013,1,6.860135546
CS,2013,2,2.637614341
CS,2013,3,0.474754448
CS,2013,4,0.217023794
CS,2014,1,1.493092674
CS,2014,2,-0.446729123
CS,2014,3,0.928149889
CS,2014,4,1.540366834
CS,2015,1,1.381915229
CS,2015,2,1.974863694
CS,2015,3,-0.377044657
CS,2015,4,1.381623169
CS,2016,1,0.834330636
CS,2016,2,0.454486577
CS,2016,3,1.923730334
CS,2016,4,1.857436286
CS,2017,1,0.265353853
CS,2017,2,1.017811034
CS,2017,3,2.404579758
CS,2017,4,0.74793082
CS,2018,1,2.482785896
CS,2018,2,1.772411686
CS,2018,3,2.608142896
CS,2018,4,1.261389369
CS,2019,1,1.972703755
CS,2019,2,0.548702812
CS,2019,3,1.298487031
CS,2019,4,0.927948397
CS,2020,1,1.142128548
CS,2020,2,2.241442643
CS,2020,3,0.67156127
CS,2020,4,1.034757338
CS,2021,1,2.438285581
CS,2021,2,0.523704098
CS,2021,3,0.584864498
CS,2021,4,0.593869853
EN,1981,1,-1.037928615
EN,1981,2,0.835416234
EN,1981,3,0.283413342
EN,1981,4,1.253823744
EN,1982,1,0.879178678
EN,1982,2,0.108967335
EN,1982,3,0.166461482
EN,1982,4,-1.199937228
EN,1983,1,-0.63432708
EN,1983,2,-1.136373635
EN,1983,3,-0.886105265
EN,1983,4,1.686840386
EN,1984,1,1.585481364
EN,1984,2,-0.202367908
EN,1984,3,1.686835671
EN,1984,4,-0.189565063
EN,1985,1,0.576477526
EN,1985,2,-0.202367908
EN,1985,3,0.868172646
EN,1985,4,-0.045226183
EN,1986,1,0.778278294
EN,1986,2,-0.721259978
EN,1986,3,0.634268925
EN,1986,4,-0.189565063
EN,1987,1,0.071975607
EN,1987,2,-1.655265706
EN,1987,3,-0.06744224
EN,1987,4,0.53212934
EN,1988,1,-0.129825161
EN,1988,2,-1.343930463
EN,1988,3,-0.769153404
EN,1988,4,-0.045226183
EN,1989,1,-0.63432708
EN,1989,2,0.420302577
EN,1989,3,-1.353912707
