Region,Year,Quarter,AACI
CS,1988,1,-0.577649971
CS,1988,2,-0.497653951
CS,1988,3,-0.045863507
CS,1988,4,1.443109571
CS,1989,1,-0.496228453
CS,1989,2,0.378416226
CS,1989,3,-0.396930623
CS,1989,4,-0.382596302
CS,1990,1,-0.064792991
CS,1990,2,0.013059018
CS,1990,3,0.334640464
CS,1990,4,-0.623137579
CS,1991,1,0.094284767
CS,1991,2,-0.418292894
CS,1991,3,-0.073128277
CS,1991,4,-0.455524808
CS,1992,1,-0.504108763
CS,1992,2,-0.497653951
CS,1992,3,-0.503786738
CS,1992,4,-0.612763697
CS,1993,1,-0.290567661
CS,1993,2,-0.313458585
CS,1993,3,0.431942112
CS,1993,4,-0.37201081
CS,1994,1,0.024365123
CS,1994,2,0.094169075
CS,1994,3,-0.224607188
CS,1994,4,-0.448110749
CS,1995,1,-0.177249299
CS,1995,2,0.146837255
CS,1995,3,1.575032141
CS,1995,4,0.090556989
CS,1996,1,-0.411112757
CS,1996,2,-0.180861132
CS,1996,3,-0.110847478
CS,1996,4,0.212988361
CS,1997,1,0.022938261
CS,1997,2,-0.497653951
CS,1997,3,-0.496569501
CS,1997,4,0.733850615
CS,1998,1,-0.195006709
CS,1998,2,1.783240601
CS,1998,3,-0.121568907
CS,1998,4,-0.285949048
CS,1999,1,-0.618521877
CS,1999,2,0.169761306
CS,1999,3,-0.638108156
CS,1999,4,-0.522944944
CS,2000,1,-0.57290201
CS,2000,2,0.841081429
CS,2000,3,-0.565374312
CS,2000,4,0.054709968
CS,2001,1,0.421212379
CS,2001,2,-0.353234851
CS,2001,3,-0.028916394
CS,2001,4,-0.552734018
CS,2002,1,-0.341773956
CS,2002,2,1.119579386
CS,2002,3,0.79675404
CS,2002,4,1.140480714
CS,2003,1,0.564494009
CS,2003,2,-0.217653368
CS,2003,3,0.214484971
CS,2003,4,0.35869718
CS,2004,1,2.670224988
CS,2004,2,0.151552332
CS,2004,3,-0.062422965
CS,2004,4,0.096231714
CS,2005,1,0.110511248
CS,2005,2,-0.369021058
CS,2005,3,0.722787137
CS,2005,4,0.197630714
CS,2006,1,2.15142041
CS,2006,2,-0.114350157
CS,2006,3,-0.579483217
CS,2006,4,0.421418446
CS,2007,1,-0.164054329
CS,2007,2,0.620904136
CS,2007,3,-0.156527364
CS,2007,4,-0.325174699
CS,2008,1,-0.618521877
CS,2008,2,-0.497653951
CS,2008,3,0.529185327
CS,2008,4,0.201982779
CS,2009,1,0.057162874
CS,2009,2,-0.147334753
CS,2009,3,2.340015208
CS,2009,4,2.865236257
CS,2010,1,-0.112601428
CS,2010,2,-0.360230916
CS,2010,3,0.027875496
CS,2010,4,-0.34568437
CS,2011,1,0.024484343
CS,2011,2,-0.122857597
CS,2011,3,-0.29656313
CS,2011,4,-0.235346408
CS,2012,1,-0.618521877
CS,2012,2,-0.302275535
CS,2012,3,0.072600532
CS,2012,4,-0.448855552
CS,2013,1,1.546432522
CS,2013,2,-0.374862692
CS,2013,3,0.201747345
CS,2013,4,0.683396294
CS,2014,1,2.142442878
CS,2014,2,1.490042994
CS,2014,3,-0.520903124
CS,2014,4,2.737672285
