Region,Year,Quarter,AACI
CS,1993,4,0.243276732
CS,1994,1,-0.210481842
CS,1994,2,0.731682967
CS,1994,3,0.523285442
CS,1994,4,-0.787844956
CS,1995,1,-1.292611537
CS,1995,2,0.799226019
CS,1995,3,-0.804742221
CS,1995,4,0.243276732
CS,1996,1,-1.292611537
CS,1996,2,0.753696999
CS,1996,3,-0.804742221
CS,1996,4,1.274398421
CS,1997,1,-0.210481842
CS,1997,2,0.822775512
CS,1997,3,-0.804742221
CS,1997,4,-0.787844956
CS,1998,1,-0.210481842
CS,1998,2,0.731682967
CS,1998,3,-0.804742221
CS,1998,4,-0.787844956
CS,1999,1,-0.198590306
CS,1999,2,-1.249579883
CS,1999,3,-0.804742221
CS,1999,4,-0.787844956
CS,2000,1,-1.292611537
CS,2000,2,-1.249579883
CS,2000,3,-0.804742221
CS,2000,4,-0.787844956
CS,2001,1,-0.161294128
CS,2001,2,0.822775512
CS,2001,3,0.538376665
CS,2001,4,0.25460774
CS,2002,1,-1.292611537
CS,2002,2,3.043156293
CS,2002,3,0.538376665
CS,2002,4,1.274398421
CS,2003,1,-1.292611537
CS,2003,2,0.753696999
CS,2003,3,0.553814813
CS,2003,4,1.297060436
CS,2004,1,-0.198590306
CS,2004,2,-1.249579883
CS,2004,3,0.523285442
CS,2004,4,1.274398421
CS,2005,1,1.724234886
CS,2005,2,-1.249579883
CS,2005,3,3.179340768
CS,2005,4,4.367763486
CS,2006,1,-0.186434515
CS,2006,2,0.731682967
CS,2006,3,-0.804742221
CS,2006,4,3.336641797
CS,2007,1,0.871647853
CS,2007,2,0.753696999
CS,2007,3,-0.804742221
CS,2007,4,0.243276732
CS,2008,1,0.895430924
CS,2008,2,8.65673437
CS,2008,3,3.091778504
CS,2008,4,0
CS,2009,1,-1.292611537
CS,2009,2,1.091912576
CS,2009,3,-0.804742221
CS,2009,4,0.243276732
CS,2010,1,-0.210481842
CS,2010,2,0.753696999
CS,2010,3,-0.804742221
CS,2010,4,0
CS,2011,1,0
CS,2011,2,0
CS,2011,3,0
CS,2011,4,0
CS,2012,1,0
CS,2012,2,0
CS,2012,3,0
CS,2012,4,0
CS,2013,1,0
CS,2013,2,0
CS,2013,3,0
CS,2013,4,0
CS,2014,1,0
CS,2014,2,0
CS,2014,3,0
CS,2014,4,0
CS,2015,1,0
CS,2015,2,0
CS,2015,3,0
CS,2015,4,0
CS,2016,1,0
CS,2016,2,0
CS,2016,3,0
CS,2016,4,0
CS,2017,1,0
CS,2017,2,0
CS,2017,3,0
CS,2017,4,0
CS,2018,1,0
CS,2018,2,0
CS,2018,3,0
CS,2018,4,0
CS,2019,1,0
CS,2019,2,0
CS,2019,3,0
CS,2019,4,0
CS,2020,1,0
CS,2020,2,0
CS,2020,3,0
CS,2020,4,0.562217069
CS,2021,1,0
CS,2021,2,0
CS,2021,3,0
CS,2021,4,0
EN,1981,1,0
EN,1981,2,0
EN,1981,3,0
EN,1981,4,0
EN,1982,1,0
EN,1982,2,0
EN,1982,3,0
EN,1982,4,0
EN,1983,1,0
EN,1983,2,0
EN,1983,3,0
EN,1983,4,0
EN,1984,1,0
EN,1984,2,0
EN,1984,3,0
EN,1984,4,0
EN,1985,1,0
EN,1985,2,0
EN,1985,3,0
EN,1985,4,0
EN,1986,1,3.067529584
EN,1986,2,-0.403678618
EN,1986,3,0.684600477
EN,1986,4,0.362059185
EN,1987,1,0.88646323
EN,1987,2,-0.340478454
EN,1987,3,0.680702263
EN,1987,4,-0.412535325
EN,1988,1,0.061954009
EN,1988,2,-1.022144462
EN,1988,3,-0.73315035
EN,1988,4,0.62177939
EN,1989,1,0.109997443
EN,1989,2,0.653678315
EN,1989,3,-0.73315035
EN,1989,4,-0.799832581
EN,1990,1,-0.810598647
EN,1990,2,0.911771571
EN,1990,3,0.739276733
EN,1990,4,0.28707437
EN,1991,1,0.057423738
EN,1991,2,-0.340478454
EN,1991,3,-0.386209259
EN,1991,4,-0.412535325
EN,1992,1,-0.810598647
EN,1992,2,0.567239537
EN,1992,3,1.987354107
EN,1992,4,-0.02523807
EN,1993,1,0.004850033
EN,1993,2,-0.047175131
EN,1993,3,1.027643354
EN,1993,4,-0.412535325
EN,1994,1,1.08382596
EN,1994,2,0.725224743
EN,1994,3,0.077880772
EN,1994,4,-0.089026595
EN,1995,1,-0.388974613
EN,1995,2,-0.603011984
EN,1995,3,-0.73315035
EN,1995,4,-0.799832581
EN,1996,1,0.943987129
EN,1996,2,0.274873708
EN,1996,3,-0.73315035
EN,1996,4,-0.104478899
EN,1997,1,-0.810598647
EN,1997,2,-0.521889569
EN,1997,3,-0.626215683
EN,1997,4,1.452351371
EN,1998,1,-0.810598647
EN,1998,2,-0.962057979
EN,1998,3,-0.626215683
EN,1998,4,-0.104478899
EN,1999,1,0.178812419
EN,1999,2,-1.022144462
EN,1999,3,1.490231476
EN,1999,4,-0.799832581
EN,2000,1,0.130455134
EN,2000,2,-0.403678618
EN,2000,3,1.056735651
EN,2000,4,-0.104478899
EN,2001,1,-0.350300602
EN,2001,2,-0.403678618
EN,2001,3,1.566315048
EN,2001,4,0.991227001
EN,2002,1,-0.350300602
EN,2002,2,-0.020767465
EN,2002,3,0.333761172
EN,2002,4,0.019278856
EN,2003,1,0.081128642
EN,2003,2,-1.022144462
EN,2003,3,1.035439783
EN,2003,4,-0.799832581
EN,2004,1,0.061954009
EN,2004,2,-0.681311458
EN,2004,3,1.580633673
EN,2004,4,-0.408279312
EN,2005,1,0.958427827
EN,2005,2,-1.022144462
EN,2005,3,-0.311194969
EN,2005,4,0.419511505
EN,2006,1,-0.614854775
EN,2006,2,0.642074956
EN,2006,3,1.095339177
EN,2006,4,0.705324453
EN,2007,1,-0.810598647
EN,2007,2,-0.614041786
EN,2007,3,0.001548432
EN,2007,4,1.013332659
EN,2008,1,0.062481958
EN,2008,2,-0.677524425
EN,2008,3,-0.374245773
EN,2008,4,-0.799832581
EN,2009,1,-0.398344036
EN,2009,2,-0.38978051
EN,2009,3,-0.382311044
EN,2009,4,-0.799832581
EN,2010,1,-0.402874307
EN,2010,2,-0.055973771
EN,2010,3,-0.023498118
EN,2010,4,0
EN,2011,1,0
EN,2011,2,0
EN,2011,3,0
EN,2011,4,0
EN,2012,1,0
EN,2012,2,0
EN,2012,3,0
EN,2012,4,0
EN,2013,1,0
EN,2013,2,0
EN,2013,3,0
EN,2013,4,0
EN,2014,1,0
EN,2014,2,0
EN,2014,3,0
EN,2014,4,0
EN,2015,1,0
EN,2015,2,0
EN,2015,3,0
EN,2015,4,0
EN,2016,1,0
EN,2016,2,0
EN,2016,3,0
EN,2016,4,0
EN,2017,1,0
EN,2017,2,0
EN,2017,3,0
EN,2017,4,0
EN,2018,1,0
EN,2018,2,0
EN,2018,3,0
EN,2018,4,0
EN,2019,1,0
EN,2019,2,0
EN,2019,3,0
EN,2019,4,0
EN,2020,1,0
EN,2020,2,0
EN,2020,3,0
EN,2020,4,0.571154238
EN,2021,1,0
EN,2021,2,0
EN,2021,3,0
EN,2021,4,0
ES,1981,1,0
ES,1981,2,0
ES,1981,3,0
ES,1981,4,0
ES,1982,1,0
ES,1982,2,0
ES,1982,3,0
ES,1982,4,0
ES,1983,1,0
ES,1983,2,3.121131573
ES,1983,3,1.552363733
ES,1983,4,0.118892868
ES,1984,1,-0.797424198
ES,1984,2,0.293691577
ES,1984,3,0.222628281
ES,1984,4,-0.85386696
ES,1985,1,0.252092748
ES,1985,2,0.272352407
ES,1985,3,-1.078199879
ES,1985,4,1.091652695
ES,1986,1,-0.797424198
ES,1986,2,-0.677240648
ES,1986,3,0.237081927
ES,1986,4,2.064412523
ES,1987,1,1.278543389
ES,1987,2,-0.677240648
ES,1987,3,-1.078199879
ES,1987,4,1.091652695
ES,1988,1,-0.797424198
ES,1988,2,-0.677240648
ES,1988,3,-1.078199879
ES,1988,4,-0.85386696
ES,1989,1,-0.797424198
ES,1989,2,-0.677240648
ES,1989,3,0.237081927
ES,1989,4,1.134886466
ES,1990,1,2.422684615
ES,1990,2,-0.677240648
ES,1990,3,0.237081927
ES,1990,4,0.118892868
ES,1991,1,-0.797424198
ES,1991,2,-0.677240648
ES,1991,3,0.237081927
ES,1991,4,-0.85386696
ES,1992,1,0.229277163
ES,1992,2,-0.677240648
ES,1992,3,0.222628281
ES,1992,4,-0.85386696
ES,1993,1,0.229277163
ES,1993,2,0.272352407
ES,1993,3,1.581920627
ES,1993,4,1.091652695
ES,1994,1,0.252092748
ES,1994,2,0.293691577
ES,1994,3,1.643072823
ES,1994,4,-0.85386696
ES,1995,1,-0.797424198
ES,1995,2,1.286690444
ES,1995,3,-1.078199879
ES,1995,4,-0.85386696
ES,1996,1,1.451540687
ES,1996,2,-0.677240648
ES,1996,3,-1.078199879
ES,1996,4,-0.85386696
ES,1997,1,-0.797424198
ES,1997,2,-0.677240648
ES,1997,3,-1.078199879
ES,1997,4,-0.85386696
ES,1998,1,-0.797424198
ES,1998,2,0.282903441
ES,1998,3,0.298257825
ES,1998,4,0.118892868
ES,1999,1,0.263885074
ES,1999,2,0.272352407
ES,1999,3,-1.078199879
ES,1999,4,-0.85386696
ES,2000,1,-0.797424198
ES,2000,2,-0.677240648
ES,2000,3,-1.078199879
ES,2000,4,-0.85386696
ES,2001,1,1.349315011
ES,2001,2,-0.677240648
ES,2001,3,1.552363733
ES,2001,4,-0.85386696
ES,2002,1,-0.797424198
ES,2002,2,0.272352407
ES,2002,3,1.552363733
ES,2002,4,-0.85386696
ES,2003,1,0.229277163
ES,2003,2,1.221945463
ES,2003,3,-1.078199879
ES,2003,4,4.009932178
ES,2004,1,-0.797424198
ES,2004,2,-0.677240648
ES,2004,3,1.52345644
ES,2004,4,-0.85386696
ES,2005,1,0.240559595
ES,2005,2,-0.677240648
ES,2005,3,-1.078199879
ES,2005,4,0.118892868
ES,2006,1,0.229277163
ES,2006,2,-0.677240648
ES,2006,3,1.552363733
ES,2006,4,-0.85386696
ES,2007,1,-0.797424198
ES,2007,2,-0.677240648
ES,2007,3,0.237081927
ES,2007,4,1.091652695
ES,2008,1,0.229277163
ES,2008,2,0.272352407
ES,2008,3,5.425940919
ES,2008,4,0.118892868
ES,2009,1,-0.797424198
ES,2009,2,1.221945463
ES,2009,3,-1.078199879
ES,2009,4,-0.85386696
ES,2010,1,-0.797424198
ES,2010,2,-0.677240648
ES,2010,3,-1.078199879
ES,2010,4,0
ES,2011,1,0
ES,2011,2,0
ES,2011,3,0
ES,2011,4,0
ES,2012,1,0
ES,2012,2,0
ES,2012,3,0
ES,2012,4,0
ES,2013,1,0
ES,2013,2,0
ES,2013,3,0
ES,2013,4,0
ES,2014,1,0
ES,2014,2,0
ES,2014,3,0
ES,2014,4,0
ES,2015,1,0
ES,2015,2,0
ES,2015,3,0
ES,2015,4,0
ES,2016,1,0
ES,2016,2,0
ES,2016,3,0
ES,2016,4,0
ES,2017,1,0
ES,2017,2,0
ES,2017,3,0
ES,2017,4,0
ES,2018,1,0
ES,2018,2,0
ES,2018,3,0
ES,2018,4,0
ES,2019,1,0
ES,2019,2,0
ES,2019,3,0
ES,2019,4,0
ES,2020,1,0
ES,2020,2,0
ES,2020,3,0
ES,2020,4,0.562305608
ES,2021,1,0
ES,2021,2,0
ES,2021,3,0
ES,2021,4,0
MB,1981,1,0
MB,1981,2,0
MB,1981,3,0
MB,1981,4,0
MB,1982,1,0
MB,1982,2,0
MB,1982,3,0
MB,1982,4,0
MB,1983,1,0
MB,1983,2,1.582262553
MB,1983,3,-0.601565651
MB,1983,4,-0.156069556
MB,1984,1,0.618106025
MB,1984,2,-0.490304339
MB,1984,3,0.270496146
MB,1984,4,0.897997851
MB,1985,1,-0.620702205
MB,1985,2,0.44858487
MB,1985,3,-0.522962145
MB,1985,4,-0.87226598
MB,1986,1,-0.62445412
MB,1986,2,0.449148491
MB,1986,3,-0.028650324
MB,1986,4,0.093884124
MB,1987,1,-0.496439525
MB,1987,2,-0.927847898
MB,1987,3,0.155433668
MB,1987,4,-0.87226598
MB,1988,1,-0.54825858
MB,1988,2,-0.499920681
MB,1988,3,0.143056746
MB,1988,4,-0.421160456
MB,1989,1,-0.155015213
MB,1989,2,-0.505239049
MB,1989,3,-0.65679425
MB,1989,4,0.903220664
MB,1990,1,-0.155015213
MB,1990,2,-0.071993464
MB,1990,3,-0.65679425
MB,1990,4,-0.519257776
MB,1991,1,1.435756122
MB,1991,2,0.345297017
MB,1991,3,0.533033118
MB,1991,4,-0.519257776
MB,1992,1,0.314423695
MB,1992,2,0.030837616
MB,1992,3,0.197678437
MB,1992,4,-0.87226598
MB,1993,1,-0.206834268
MB,1993,2,-0.406705943
MB,1993,3,0.292682256
MB,1993,4,-0.259124079
MB,1994,1,0.60861818
MB,1994,2,-0.927847898
MB,1994,3,-0.570419821
MB,1994,4,0.221248846
MB,1995,1,-0.965878432
MB,1995,2,-0.499920681
MB,1995,3,0.162215056
MB,1995,4,0.95301072
MB,1996,1,-0.185169988
MB,1996,2,0.44858487
MB,1996,3,-0.605623899
MB,1996,4,-0.24842084
MB,1997,1,0.286981123
MB,1997,2,1.429996694
MB,1997,3,0.478631787
MB,1997,4,1.122331065
MB,1998,1,0.613776849
MB,1998,2,0.866438972
MB,1998,3,0.446767235
MB,1998,4,-0.068152253
MB,1999,1,-0.151263297
MB,1999,2,-0.499920681
MB,1999,3,-0.65679425
MB,1999,4,-0.87226598
MB,2000,1,-0.198493124
MB,2000,2,0.454938957
MB,2000,3,-0.152630012
MB,2000,4,-0.606351534
MB,2001,1,-0.965878432
MB,2001,2,-0.505239049
MB,2001,3,-0.970866213
MB,2001,4,-0.351998585
MB,2002,1,-0.197553827
MB,2002,2,-0.505239049
MB,2002,3,0.284289061
MB,2002,4,0.735961474
MB,2003,1,0.276681713
MB,2003,2,-0.927847898
MB,2003,3,-0.970866213
MB,2003,4,0.452115141
MB,2004,1,-0.965878432
MB,2004,2,-0.499920681
MB,2004,3,0.070239037
MB,2004,4,1.088969677
MB,2005,1,0.689402949
MB,2005,2,0.822364798
MB,2005,3,0.270263007
MB,2005,4,0.837938005
MB,2006,1,-0.965878432
MB,2006,2,-0.927847898
MB,2006,3,1.096516978
MB,2006,4,3.346240538
MB,2007,1,0.68538316
MB,2007,2,-0.927847898
MB,2007,3,-0.970866213
MB,2007,4,0.012571116
MB,2008,1,0.439684949
MB,2008,2,-0.927847898
MB,2008,3,-0.288023038
MB,2008,4,0.238211688
MB,2009,1,-0.328955533
MB,2009,2,-0.998719558
MB,2009,3,-1.070801721
MB,2009,4,-0.875004296
MB,2010,1,-0.450132686
MB,2010,2,-0.364806285
MB,2010,3,-0.597416207
MB,2010,4,0
MB,2011,1,0
MB,2011,2,0
MB,2011,3,0
MB,2011,4,0
MB,2012,1,0
MB,2012,2,0
MB,2012,3,0
MB,2012,4,0
MB,2013,1,0
MB,2013,2,0
MB,2013,3,0
MB,2013,4,0
MB,2014,1,0
MB,2014,2,0
MB,2014,3,0
MB,2014,4,0
MB,2015,1,0
MB,2015,2,0
MB,2015,3,0
MB,2015,4,0
MB,2016,1,0
MB,2016,2,0
MB,2016,3,0
MB,2016,4,0
MB,2017,1,0
MB,2017,2,0
MB,2017,3,0
MB,2017,4,0
MB,2018,1,0
MB,2018,2,0
MB,2018,3,0
MB,2018,4,0
MB,2019,1,0
MB,2019,2,0
MB,2019,3,0
MB,2019,4,0
MB,2020,1,0
MB,2020,2,0
MB,2020,3,0
MB,2020,4,0.138829084
MB,2021,1,0
MB,2021,2,0
MB,2021,3,0
MB,2021,4,0
MN,1981,1,0
MN,1981,2,0
MN,1981,3,0
MN,1981,4,0
MN,1982,1,0
MN,1982,2,0
MN,1982,3,0
MN,1982,4,0
MN,1983,1,0
MN,1983,2,0
MN,1983,3,0
MN,1983,4,0
MN,1984,1,0
MN,1984,2,0
MN,1984,3,0
MN,1984,4,0
MN,1985,1,0
MN,1985,2,1.54401489
MN,1985,3,-0.306971881
MN,1985,4,0.724232517
MN,1986,1,-0.52985516
MN,1986,2,0.014952846
MN,1986,3,1.292680787
MN,1986,4,-0.454614153
