Region,Year,Quarter,AACI
CS,1987,4,-0.090460164
CS,1988,1,0.06694591
CS,1988,2,0.750861321
CS,1988,3,0.458174072
CS,1988,4,-0.348456544
CS,1989,1,-0.374858265
CS,1989,2,0.798932844
CS,1989,3,-0.308246255
CS,1989,4,-0.163971672
CS,1990,1,-0.283829363
CS,1990,2,1.248878547
CS,1990,3,-0.206428801
CS,1990,4,-0.451766269
CS,1991,1,0.261239946
CS,1991,2,0.115234322
CS,1991,3,-0.330810134
CS,1991,4,-0.465086746
CS,1992,1,0.807224253
CS,1992,2,-0.480310748
CS,1992,3,-0.382359159
CS,1992,4,-0.415888039
CS,1993,1,-0.207162793
CS,1993,2,-0.41297623
CS,1993,3,0.437715342
CS,1993,4,-0.028031321
CS,1994,1,-0.002017057
CS,1994,2,-0.464835539
CS,1994,3,-0.49457935
CS,1994,4,-0.473723111
CS,1995,1,0.333573925
CS,1995,2,-0.319054483
CS,1995,3,-0.494856965
CS,1995,4,0.639773278
CS,1996,1,0.420809075
CS,1996,2,0.833289913
CS,1996,3,0.263214951
CS,1996,4,0.196771538
CS,1997,1,0.665012294
CS,1997,2,-0.382176977
CS,1997,3,-0.478136833
CS,1997,4,0.633847902
CS,1998,1,-0.244174009
CS,1998,2,0.213509699
CS,1998,3,2.123411554
CS,1998,4,0.461482625
CS,1999,1,-0.390588381
CS,1999,2,0.207610005
CS,1999,3,-0.37530959
CS,1999,4,0.294355254
CS,2000,1,-0.478623977
CS,2000,2,0.132554916
CS,2000,3,-0.478493783
CS,2000,4,1.244175926
CS,2001,1,0.459802928
CS,2001,2,-0.164230627
CS,2001,3,0.000566007
CS,2001,4,-0.112888414
CS,2002,1,-0.439831924
CS,2002,2,-0.082659014
CS,2002,3,-0.315815417
CS,2002,4,-0.483626913
CS,2003,1,0.117213877
CS,2003,2,-0.384193794
CS,2003,3,-0.129405001
CS,2003,4,0.046766489
CS,2004,1,0.931964435
CS,2004,2,-0.310378448
CS,2004,3,-0.490479003
CS,2004,4,0.045791086
CS,2005,1,-0.008775591
CS,2005,2,-0.449232914
CS,2005,3,0.356278999
CS,2005,4,0.051186527
CS,2006,1,-0.31381005
CS,2006,2,-0.453117317
CS,2006,3,-0.438015683
CS,2006,4,-0.180933507
CS,2007,1,-0.368119588
CS,2007,2,-0.341148476
CS,2007,3,0.71342456
CS,2007,4,-0.182847846
CS,2008,1,0.241462132
CS,2008,2,-0.496366014
CS,2008,3,-0.421341037
CS,2008,4,0.345094482
CS,2009,1,-0.223878848
CS,2009,2,-0.060154784
CS,2009,3,-0.487939081
CS,2009,4,-0.356413712
CS,2010,1,0.143535115
CS,2010,2,-0.031665672
CS,2010,3,0.193976134
CS,2010,4,0.474871636
CS,2011,1,0.981015265
CS,2011,2,-0.324204565
CS,2011,3,-0.368896338
CS,2011,4,1.106290063
CS,2012,1,0.231101557
CS,2012,2,-0.219397309
CS,2012,3,-0.025003058
CS,2012,4,-0.467667439
CS,2013,1,0.771861555
CS,2013,2,-0.250844455
CS,2013,3,-0.288713119
CS,2013,4,-0.160623754
CS,2014,1,-0.463017952
CS,2014,2,0.466621106
CS,2014,3,-0.311705812
CS,2014,4,-0.49616415
CS,2015,1,-0.163743087
CS,2015,2,0.113842948
CS,2015,3,-0.137050305
CS,2015,4,-0.267401911
CS,2016,1,-0.324162429
CS,2016,2,-0.464247573
CS,2016,3,1.37310756
CS,2016,4,0.856672572
CS,2017,1,-0.467417429
CS,2017,2,0.05241128
CS,2017,3,-0.462116237
CS,2017,4,-0.101886909
CS,2018,1,-0.406678337
CS,2018,2,-0.472352839
CS,2018,3,-0.395938931
CS,2018,4,-0.268087553
CS,2019,1,-0.260519845
CS,2019,2,-0.255741876
CS,2019,3,-0.494317778
CS,2019,4,-0.486365137
CS,2020,1,0.341479071
CS,2020,2,-0.351607553
CS,2020,3,-0.391350283
CS,2020,4,-0.19064274
CS,2021,1,-0.074383809
CS,2021,2,0.694394987
CS,2021,3,-0.281267619
CS,2021,4,1.270148187
EN,1981,1,0.4708457
EN,1981,2,0.178167105
EN,1981,3,-0.33879676
EN,1981,4,0.235625162
EN,1982,1,0.055129244
EN,1982,2,-0.320685386
EN,1982,3,-0.479154659
EN,1982,4,-0.241080055
EN,1983,1,-0.359646497
EN,1983,2,2.591657996
EN,1983,3,0.58129187
EN,1983,4,-0.084622478
EN,1984,1,-0.130076997
EN,1984,2,-0.238953921
EN,1984,3,1.637960981
EN,1984,4,-0.191785297
